Section,Item,Metric,Value
Split,train,scenarios,70
Split,train,rows,50400
Split,validation,scenarios,15
Split,validation,rows,10800
Split,test,scenarios,15
Split,test,rows,10800
Family,FAMILY_1,scenarios,20
Family,FAMILY_1,rows,14400
Family,FAMILY_1,row_percentage,20.0
Family,FAMILY_2,scenarios,20
Family,FAMILY_2,rows,14400
Family,FAMILY_2,row_percentage,20.0
Family,FAMILY_3,scenarios,20
Family,FAMILY_3,rows,14400
Family,FAMILY_3,row_percentage,20.0
Family,FAMILY_4,scenarios,20
Family,FAMILY_4,rows,14400
Family,FAMILY_4,row_percentage,20.0
Family,FAMILY_5,scenarios,20
Family,FAMILY_5,rows,14400
Family,FAMILY_5,row_percentage,20.0
OverallTarget,optimal_room_setpoint_c,mean,25.634
OverallTarget,optimal_room_setpoint_c,std,0.517
OverallTarget,optimal_room_setpoint_c,dominant_value,25.5
OverallTarget,optimal_room_setpoint_c,dominant_percentage,42.82
OverallTarget,optimal_ac1_setpoint_c,mean,25.773
OverallTarget,optimal_ac1_setpoint_c,std,0.812
OverallTarget,optimal_ac1_setpoint_c,dominant_value,25.5
OverallTarget,optimal_ac1_setpoint_c,dominant_percentage,31.86
OverallTarget,optimal_ac2_setpoint_c,mean,25.834
OverallTarget,optimal_ac2_setpoint_c,std,0.802
OverallTarget,optimal_ac2_setpoint_c,dominant_value,25.5
OverallTarget,optimal_ac2_setpoint_c,dominant_percentage,31.17
OverallTarget,optimal_ac3_setpoint_c,mean,25.843
OverallTarget,optimal_ac3_setpoint_c,std,0.796
OverallTarget,optimal_ac3_setpoint_c,dominant_value,25.5
OverallTarget,optimal_ac3_setpoint_c,dominant_percentage,30.4
OverallTarget,optimal_ac4_setpoint_c,mean,25.779
OverallTarget,optimal_ac4_setpoint_c,std,0.827
OverallTarget,optimal_ac4_setpoint_c,dominant_value,25.5
OverallTarget,optimal_ac4_setpoint_c,dominant_percentage,30.04
OverallTarget,optimal_ac1_cooling_level,mean,0.244
OverallTarget,optimal_ac1_cooling_level,std,0.323
OverallTarget,optimal_ac1_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac1_cooling_level,dominant_percentage,59.06
OverallTarget,optimal_ac2_cooling_level,mean,0.2
OverallTarget,optimal_ac2_cooling_level,std,0.282
OverallTarget,optimal_ac2_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac2_cooling_level,dominant_percentage,58.93
OverallTarget,optimal_ac3_cooling_level,mean,0.204
OverallTarget,optimal_ac3_cooling_level,std,0.281
OverallTarget,optimal_ac3_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac3_cooling_level,dominant_percentage,59.89
OverallTarget,optimal_ac4_cooling_level,mean,0.257
OverallTarget,optimal_ac4_cooling_level,std,0.332
OverallTarget,optimal_ac4_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac4_cooling_level,dominant_percentage,59.23
DistributionShift,train_vs_val,js_distance,0.1996
DistributionShift,train_vs_val,status,WARNING
DistributionShift,train_vs_test,js_distance,0.2014
DistributionShift,train_vs_test,status,WARNING
Correlation,room_average_temperature_c,pearson_r,-0.7892
Correlation,maximum_temperature_c,pearson_r,-0.7035
Correlation,temperature_difference_c,pearson_r,-0.136
Correlation,total_computer_heat_watts,pearson_r,-0.1862
Correlation,total_occupancy_heat_watts,pearson_r,-0.0413
Correlation,total_heat_load_watts,pearson_r,-0.4061
Correlation,outdoor_temperature_c,pearson_r,-0.5724
Correlation,humidity_percent,pearson_r,-0.7388
Audit,FinalStatus,status,WARNING
