Section,Item,Metric,Value
Split,train,scenarios,70
Split,train,rows,50400
Split,validation,scenarios,15
Split,validation,rows,10800
Split,test,scenarios,15
Split,test,rows,10800
Family,FAMILY_1,scenarios,20
Family,FAMILY_1,rows,14400
Family,FAMILY_1,row_percentage,20.0
Family,FAMILY_2,scenarios,20
Family,FAMILY_2,rows,14400
Family,FAMILY_2,row_percentage,20.0
Family,FAMILY_3,scenarios,20
Family,FAMILY_3,rows,14400
Family,FAMILY_3,row_percentage,20.0
Family,FAMILY_4,scenarios,20
Family,FAMILY_4,rows,14400
Family,FAMILY_4,row_percentage,20.0
Family,FAMILY_5,scenarios,20
Family,FAMILY_5,rows,14400
Family,FAMILY_5,row_percentage,20.0
OverallTarget,optimal_room_setpoint_c,mean,24.074
OverallTarget,optimal_room_setpoint_c,std,0.501
OverallTarget,optimal_room_setpoint_c,dominant_value,24.0
OverallTarget,optimal_room_setpoint_c,dominant_percentage,38.63
OverallTarget,optimal_ac1_setpoint_c,mean,24.104
OverallTarget,optimal_ac1_setpoint_c,std,0.78
OverallTarget,optimal_ac1_setpoint_c,dominant_value,24.0
OverallTarget,optimal_ac1_setpoint_c,dominant_percentage,35.07
OverallTarget,optimal_ac2_setpoint_c,mean,24.164
OverallTarget,optimal_ac2_setpoint_c,std,0.758
OverallTarget,optimal_ac2_setpoint_c,dominant_value,24.0
OverallTarget,optimal_ac2_setpoint_c,dominant_percentage,28.87
OverallTarget,optimal_ac3_setpoint_c,mean,24.158
OverallTarget,optimal_ac3_setpoint_c,std,0.769
OverallTarget,optimal_ac3_setpoint_c,dominant_value,24.0
OverallTarget,optimal_ac3_setpoint_c,dominant_percentage,29.45
OverallTarget,optimal_ac4_setpoint_c,mean,24.078
OverallTarget,optimal_ac4_setpoint_c,std,0.805
OverallTarget,optimal_ac4_setpoint_c,dominant_value,24.0
OverallTarget,optimal_ac4_setpoint_c,dominant_percentage,34.94
OverallTarget,optimal_ac1_cooling_level,mean,0.334
OverallTarget,optimal_ac1_cooling_level,std,0.349
OverallTarget,optimal_ac1_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac1_cooling_level,dominant_percentage,40.33
OverallTarget,optimal_ac2_cooling_level,mean,0.284
OverallTarget,optimal_ac2_cooling_level,std,0.313
OverallTarget,optimal_ac2_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac2_cooling_level,dominant_percentage,45.62
OverallTarget,optimal_ac3_cooling_level,mean,0.293
OverallTarget,optimal_ac3_cooling_level,std,0.319
OverallTarget,optimal_ac3_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac3_cooling_level,dominant_percentage,44.93
OverallTarget,optimal_ac4_cooling_level,mean,0.355
OverallTarget,optimal_ac4_cooling_level,std,0.368
OverallTarget,optimal_ac4_cooling_level,dominant_value,0.05
OverallTarget,optimal_ac4_cooling_level,dominant_percentage,37.92
DistributionShift,train_vs_val,js_distance,0.5031
DistributionShift,train_vs_val,status,FAIL
DistributionShift,train_vs_test,js_distance,0.3967
DistributionShift,train_vs_test,status,FAIL
Correlation,room_average_temperature_c,pearson_r,-0.7997
Correlation,maximum_temperature_c,pearson_r,-0.9189
Correlation,temperature_difference_c,pearson_r,-0.3852
Correlation,total_computer_heat_watts,pearson_r,-0.2998
Correlation,total_occupancy_heat_watts,pearson_r,0.0145
Correlation,total_heat_load_watts,pearson_r,-0.3879
Correlation,outdoor_temperature_c,pearson_r,-0.34
Correlation,humidity_percent,pearson_r,-0.3306
Audit,FinalStatus,status,WARNING
