scenario_id,scenario_family,row_count,accuracy,mae_deg_c,rmse_deg_c,max_error_deg_c,prediction_transitions,directional_correctness_pct,mean_actual_setpoint_c,mean_predicted_setpoint_c
SCEN_0017_FAMILY_2,FAMILY_2,720,1.0,0.0,0.0,0.0,0,100.0,24.5,24.5
SCEN_0021_FAMILY_1,FAMILY_1,720,1.0,0.0,0.0,0.0,0,100.0,24.0,24.0
SCEN_0025_FAMILY_5,FAMILY_5,720,0.9861,0.0069,0.0589,0.5,1,100.0,24.48,24.48
SCEN_0029_FAMILY_4,FAMILY_4,720,0.9972,0.0014,0.0264,0.5,2,100.0,24.46,24.46
SCEN_0033_FAMILY_3,FAMILY_3,720,0.9944,0.0028,0.0373,0.5,1,100.0,23.99,23.99
SCEN_0039_FAMILY_4,FAMILY_4,720,0.9861,0.0069,0.0589,0.5,2,100.0,23.96,23.95
SCEN_0046_FAMILY_1,FAMILY_1,720,0.9347,0.0326,0.1277,0.5,8,100.0,24.05,24.07
SCEN_0049_FAMILY_4,FAMILY_4,720,0.9958,0.0021,0.0323,0.5,1,100.0,24.49,24.49
SCEN_0051_FAMILY_1,FAMILY_1,720,0.0528,0.4736,0.4866,0.5,0,100.0,23.53,24.0
SCEN_0057_FAMILY_2,FAMILY_2,720,0.0778,0.4611,0.4802,0.5,1,100.0,24.95,24.49
SCEN_0060_FAMILY_5,FAMILY_5,720,0.1181,0.8389,0.9041,1.0,18,100.0,23.1,23.94
SCEN_0063_FAMILY_3,FAMILY_3,720,0.0486,0.4757,0.4877,0.5,0,100.0,23.52,24.0
SCEN_0070_FAMILY_5,FAMILY_5,720,0.9653,0.0174,0.0932,0.5,2,100.0,24.02,24.0
SCEN_0073_FAMILY_3,FAMILY_3,720,0.9764,0.0118,0.0768,0.5,2,100.0,24.46,24.46
SCEN_0087_FAMILY_2,FAMILY_2,720,0.9875,0.0063,0.0559,0.5,6,100.0,24.0,24.01
