scenario_id,sim_time_s,time,ai_requested_c,applied_c,baseline_c,status,reason
1,6200.0,01:43:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6210.0,01:43:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6220.0,01:43:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6230.0,01:43:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6240.0,01:44:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6250.0,01:44:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6260.0,01:44:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6270.0,01:44:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6280.0,01:44:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6290.0,01:44:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6300.0,01:45:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6310.0,01:45:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6320.0,01:45:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6330.0,01:45:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6340.0,01:45:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6350.0,01:45:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6360.0,01:46:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6370.0,01:46:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6380.0,01:46:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6390.0,01:46:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6400.0,01:46:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6410.0,01:46:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6420.0,01:47:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6430.0,01:47:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
1,6440.0,01:47:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
