feature_name,importance_score,importance_share_pct,rank
room_average_temperature_c,0.070101,7.01,1
room_temp_30s_avg,0.063177,6.318,2
humidity_percent,0.054144,5.414,3
ac2_setpoint_c,0.041305,4.13,4
outdoor_temperature_c,0.041006,4.101,5
zone_2_temperature_c,0.03411,3.411,6
total_environmental_heat_watts,0.03246,3.246,7
ac4_setpoint_c,0.029334,2.933,8
minimum_temperature_c,0.028567,2.857,9
hvac_cooling_30s_avg,0.028187,2.819,10
occupancy_total,0.028047,2.805,11
solar_load,0.02758,2.758,12
maximum_temperature_c,0.024887,2.489,13
total_heat_load_watts,0.023271,2.327,14
total_hvac_cooling_watts,0.023045,2.305,15
zone_3_temperature_c,0.02262,2.262,16
comfort_score,0.021642,2.164,17
zone_4_temperature_c,0.019808,1.981,18
ac2_cooling_level,0.018151,1.815,19
comfort_penalty,0.017652,1.765,20
ac1_cooling_level,0.016334,1.633,21
temperature_difference_c,0.016262,1.626,22
zone_1_temperature_c,0.014547,1.455,23
total_occupancy_heat_watts,0.013274,1.327,24
occupancy_zone_2,0.01281,1.281,25
ac4_cooling_level,0.011436,1.144,26
gpu_util_30s_avg,0.010968,1.097,27
occupancy_zone_4,0.010436,1.044,28
ac1_setpoint_c,0.010094,1.009,29
computer_4_workload,0.009887,0.989,30
ac3_cooling_level,0.009832,0.983,31
computer_2_workload,0.009831,0.983,32
computer_5_heat,0.009708,0.971,33
ac3_setpoint_c,0.008172,0.817,34
cpu_util_30s_avg,0.008075,0.807,35
computer_4_gpu,0.007642,0.764,36
computer_2_heat,0.00743,0.743,37
total_computer_heat_watts,0.007294,0.729,38
occupancy_zone_3,0.00711,0.711,39
computer_2_gpu,0.006692,0.669,40
occupancy_zone_1,0.006616,0.662,41
computer_4_heat,0.006209,0.621,42
computer_1_cpu,0.006182,0.618,43
computer_9_heat,0.006034,0.603,44
computer_5_cpu,0.005734,0.573,45
computer_6_gpu,0.005566,0.557,46
computer_1_workload,0.005504,0.55,47
computer_9_gpu,0.004809,0.481,48
computer_6_heat,0.004404,0.44,49
computer_6_cpu,0.004365,0.437,50
computer_7_gpu,0.004337,0.434,51
computer_3_heat,0.004282,0.428,52
computer_9_cpu,0.004229,0.423,53
computer_3_workload,0.004227,0.423,54
computer_10_heat,0.004218,0.422,55
computer_1_gpu,0.004022,0.402,56
computer_1_heat,0.003972,0.397,57
computer_7_workload,0.003898,0.39,58
computer_8_heat,0.003778,0.378,59
computer_5_gpu,0.003777,0.378,60
computer_7_heat,0.003628,0.363,61
computer_6_workload,0.00359,0.359,62
computer_3_gpu,0.003545,0.354,63
computer_5_workload,0.003506,0.351,64
computer_10_gpu,0.003405,0.341,65
computer_4_cpu,0.003282,0.328,66
computer_3_cpu,0.003275,0.328,67
computer_10_cpu,0.002962,0.296,68
computer_7_cpu,0.002747,0.275,69
computer_2_cpu,0.002738,0.274,70
computer_10_workload,0.002563,0.256,71
computer_8_cpu,0.002411,0.241,72
computer_9_workload,0.002312,0.231,73
computer_8_workload,0.002286,0.229,74
computer_8_gpu,0.002204,0.22,75
ac3_state,0.0016,0.16,76
ac2_state,0.000855,0.085,77
ac1_state,0.0,0.0,78
occupancy_total_30s_avg,0.0,0.0,79
ac4_state,0.0,0.0,80
