scenario_id,scenario_family,timesteps,mae_deg_c,rmse_deg_c,exact_accuracy,pct_within_0_5_c,misclassified_timesteps,mean_predicted_c,mean_actual_c,min_predicted_c,max_predicted_c
SCEN_0010_FAMILY_5,FAMILY_5,720,0.0,0.0,1.0,100.0,0,25.5,25.5,25.5,25.5
SCEN_0044_FAMILY_4,FAMILY_4,720,0.0,0.0,1.0,100.0,0,26.5,26.5,26.5,26.5
SCEN_0038_FAMILY_3,FAMILY_3,720,0.0,0.0,1.0,100.0,0,24.5,24.5,24.5,24.5
SCEN_0054_FAMILY_4,FAMILY_4,720,0.0,0.0,1.0,100.0,0,25.5,25.5,25.5,25.5
SCEN_0061_FAMILY_1,FAMILY_1,720,0.0014,0.0264,0.9972,100.0,2,25.971,25.972,25.5,26.0
SCEN_0072_FAMILY_2,FAMILY_2,720,0.0056,0.0527,0.9889,100.0,8,25.975,25.969,25.5,26.0
SCEN_0053_FAMILY_3,FAMILY_3,720,0.0056,0.0527,0.9889,100.0,8,25.473,25.478,25.0,25.5
SCEN_0075_FAMILY_5,FAMILY_5,720,0.0125,0.0791,0.975,100.0,18,25.968,25.981,25.0,26.0
SCEN_0016_FAMILY_1,FAMILY_1,720,0.0299,0.1222,0.9403,100.0,43,26.0,26.03,26.0,26.0
SCEN_0045_FAMILY_5,FAMILY_5,720,0.0576,0.1698,0.8847,100.0,83,26.0,26.058,26.0,26.0
SCEN_0029_FAMILY_4,FAMILY_4,720,0.0653,0.1807,0.8694,100.0,94,25.895,25.924,25.5,26.0
SCEN_0022_FAMILY_2,FAMILY_2,720,0.1271,0.2521,0.7458,100.0,183,25.613,25.486,25.5,26.0
SCEN_0012_FAMILY_2,FAMILY_2,720,0.459,0.4791,0.0819,100.0,661,25.136,24.959,24.5,25.5
SCEN_0056_FAMILY_1,FAMILY_1,720,0.4757,0.4877,0.0486,100.0,685,25.421,24.976,24.5,25.5
SCEN_0008_FAMILY_3,FAMILY_3,720,0.5062,0.51,0.0014,98.61,719,25.949,26.455,25.5,26.0
