scenario_id,scenario_name,run_id,timestep_index,timestamp_seconds,total_occupancy,occupancy_zone_1,occupancy_zone_2,occupancy_zone_3,occupancy_zone_4,cpu_util_comp_1,gpu_util_comp_1,workload_cat_comp_1,heat_w_comp_1,cpu_util_comp_2,gpu_util_comp_2,workload_cat_comp_2,heat_w_comp_2,cpu_util_comp_3,gpu_util_comp_3,workload_cat_comp_3,heat_w_comp_3,cpu_util_comp_4,gpu_util_comp_4,workload_cat_comp_4,heat_w_comp_4,cpu_util_comp_5,gpu_util_comp_5,workload_cat_comp_5,heat_w_comp_5,cpu_util_comp_6,gpu_util_comp_6,workload_cat_comp_6,heat_w_comp_6,cpu_util_comp_7,gpu_util_comp_7,workload_cat_comp_7,heat_w_comp_7,cpu_util_comp_8,gpu_util_comp_8,workload_cat_comp_8,heat_w_comp_8,cpu_util_comp_9,gpu_util_comp_9,workload_cat_comp_9,heat_w_comp_9,cpu_util_comp_10,gpu_util_comp_10,workload_cat_comp_10,heat_w_comp_10,outdoor_temperature_c,relative_humidity_percent,solar_irradiance_w_m2,cooling_level_ac1,setpoint_ac1,state_ac1,cooling_level_ac2,setpoint_ac2,state_ac2,cooling_level_ac3,setpoint_ac3,state_ac3,cooling_level_ac4,setpoint_ac4,state_ac4,zone_1_temperature_c,zone_2_temperature_c,zone_3_temperature_c,zone_4_temperature_c,room_average_temperature_c,max_zone_temperature_c,min_zone_temperature_c,temperature_gradient_c,comp_heat_zone_1_w,comp_heat_zone_2_w,comp_heat_zone_3_w,comp_heat_zone_4_w,occ_heat_zone_1_w,occ_heat_zone_2_w,occ_heat_zone_3_w,occ_heat_zone_4_w,env_heat_zone_1_w,env_heat_zone_2_w,env_heat_zone_3_w,env_heat_zone_4_w,interzone_heat_zone_1_w,interzone_heat_zone_2_w,interzone_heat_zone_3_w,interzone_heat_zone_4_w,hvac_cooling_zone_1_w,hvac_cooling_zone_2_w,hvac_cooling_zone_3_w,hvac_cooling_zone_4_w,net_heat_zone_1_w,net_heat_zone_2_w,net_heat_zone_3_w,net_heat_zone_4_w,total_computational_heat_w,total_occupancy_heat_w,total_envelope_heat_w,total_hvac_cooling_w,total_net_heat_w,optimal_cooling_ac1,optimal_cooling_ac2,optimal_cooling_ac3,optimal_cooling_ac4,optimal_temperature_c,optimal_hvac_action,target_objective_cost
1,Localized Heavy Compute,0,0,0.0,14,3,4,3,4,29.88,17.4,LIGHT,108.45,28.85,13.67,LIGHT,101.57,32.16,13.59,GENERAL,105.58,32.32,17.4,GENERAL,111.5,16.85,5.52,LIGHT,74.34,18.39,5.41,LIGHT,76.1,11.16,5.25,LIGHT,66.83,19.03,6.46,LIGHT,78.48,17.48,2.07,LIGHT,69.95,14.38,7.09,LIGHT,73.61,27.5,52.0,200.0,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.299,22.296,22.295,22.296,22.297,22.299,22.295,0.004,427.1,150.44,145.31,143.56,255.0,340.0,255.0,340.0,186.82,236.82,286.82,236.82,0.0,0.0,0.0,0.0,875.0,875.0,875.0,875.0,-6.08,-147.74,-187.87,-154.62,866.41,1190.0,947.28,3500.0,-496.31,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0516
1,Localized Heavy Compute,0,1,10.0,14,3,4,3,4,27.17,12.48,LIGHT,97.68,28.52,16.09,LIGHT,104.78,31.67,13.22,GENERAL,104.42,32.03,14.9,GENERAL,107.39,14.0,3.73,LIGHT,68.09,15.88,7.15,LIGHT,75.57,15.19,3.34,LIGHT,69.0,11.1,7.47,LIGHT,70.08,19.53,2.09,LIGHT,72.55,11.49,2.64,LIGHT,63.32,27.5,52.0,200.2,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.299,22.293,22.291,22.293,22.294,22.299,22.291,0.008,414.27,143.66,139.08,135.87,255.0,340.0,255.0,340.0,186.9,237.01,287.08,237.01,-0.72,0.22,0.28,0.22,875.0,875.0,875.0,875.0,-19.55,-154.11,-193.56,-161.9,832.88,1190.0,948.0,3500.0,-529.12,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0552
1,Localized Heavy Compute,0,2,20.0,14,3,4,3,4,30.19,17.45,GENERAL,108.91,28.43,15.72,LIGHT,104.12,32.3,16.3,GENERAL,109.83,27.22,13.25,LIGHT,98.9,11.93,6.27,LIGHT,69.32,14.12,6.93,LIGHT,73.05,16.89,2.76,LIGHT,70.25,12.4,5.08,LIGHT,68.12,17.14,5.78,LIGHT,75.09,12.52,6.73,LIGHT,70.75,27.51,52.0,200.4,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.299,22.29,22.287,22.29,22.291,22.299,22.287,0.012,421.76,142.37,138.37,145.84,255.0,340.0,255.0,340.0,187.19,237.42,287.56,237.42,-1.44,0.44,0.56,0.44,875.0,875.0,875.0,875.0,-12.49,-154.77,-193.51,-151.3,848.34,1190.0,949.59,3500.0,-512.07,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0578
1,Localized Heavy Compute,0,3,30.0,14,3,4,3,4,32.77,14.51,GENERAL,107.73,30.57,16.93,GENERAL,108.61,29.31,16.37,LIGHT,106.19,32.19,16.14,GENERAL,109.45,13.35,5.77,LIGHT,70.34,14.7,3.46,LIGHT,68.56,11.82,6.75,LIGHT,69.9,17.16,2.84,LIGHT,70.71,19.71,7.25,LIGHT,80.51,14.02,3.9,LIGHT,68.38,27.51,52.0,200.6,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.299,22.287,22.283,22.287,22.289,22.299,22.283,0.016,431.98,138.9,140.61,148.89,255.0,340.0,255.0,340.0,187.26,237.61,287.81,237.61,-2.16,0.66,0.84,0.66,875.0,875.0,875.0,875.0,-2.92,-157.83,-190.74,-147.84,860.38,1190.0,950.29,3500.0,-499.33,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0607
1,Localized Heavy Compute,0,4,40.0,14,3,4,3,4,29.56,17.98,LIGHT,108.92,28.47,13.12,LIGHT,100.27,32.26,16.11,GENERAL,109.49,29.82,16.7,LIGHT,107.33,15.89,4.34,LIGHT,71.37,13.3,7.66,LIGHT,73.11,16.51,7.59,LIGHT,77.02,11.59,2.29,LIGHT,62.92,17.12,4.52,LIGHT,73.18,12.25,4.68,LIGHT,67.33,27.52,52.0,200.8,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.299,22.284,22.279,22.284,22.287,22.299,22.279,0.02,426.01,144.48,139.94,140.51,255.0,340.0,255.0,340.0,187.55,238.01,288.3,238.01,-2.88,0.88,1.12,0.88,875.0,875.0,875.0,875.0,-9.32,-151.63,-190.64,-155.6,850.94,1190.0,951.87,3500.0,-507.19,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.064
1,Localized Heavy Compute,0,5,50.0,14,3,4,3,4,30.48,12.26,GENERAL,101.49,29.81,15.81,LIGHT,105.98,28.08,16.89,LIGHT,105.44,27.12,17.1,LIGHT,104.55,15.65,7.79,LIGHT,76.25,17.83,2.28,LIGHT,70.71,11.47,7.92,LIGHT,71.22,16.85,3.4,LIGHT,71.16,16.36,2.38,LIGHT,69.02,16.86,4.68,LIGHT,73.09,27.52,52.0,201.0,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.299,22.281,22.275,22.281,22.284,22.299,22.275,0.024,417.46,146.96,142.38,142.11,255.0,340.0,255.0,340.0,187.63,238.19,288.56,238.19,-3.6,1.1,1.4,1.1,875.0,875.0,875.0,875.0,-18.51,-148.75,-187.66,-153.6,848.91,1190.0,952.57,3500.0,-508.52,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0671
1,Localized Heavy Compute,0,6,60.0,14,3,4,3,4,28.24,14.11,LIGHT,101.47,28.86,15.78,LIGHT,104.74,31.35,12.1,GENERAL,102.34,28.62,13.81,LIGHT,101.49,17.1,3.87,LIGHT,72.18,15.83,7.01,LIGHT,75.3,18.86,6.77,LIGHT,78.73,14.35,6.17,LIGHT,72.19,16.86,5.84,LIGHT,74.84,19.85,4.68,LIGHT,76.83,27.52,52.0,201.2,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.298,22.278,22.271,22.278,22.281,22.298,22.271,0.027,410.04,147.48,150.92,151.67,255.0,340.0,255.0,340.0,187.7,238.39,288.82,238.39,-4.32,1.32,1.68,1.32,875.0,875.0,875.0,875.0,-26.58,-147.81,-178.58,-143.62,860.11,1190.0,953.3,3500.0,-496.59,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0697
1,Localized Heavy Compute,0,7,70.0,14,3,4,3,4,27.36,15.2,LIGHT,102.0,30.25,14.0,GENERAL,103.81,28.72,17.75,LIGHT,107.53,30.99,14.43,GENERAL,105.38,15.56,7.52,LIGHT,75.73,15.82,5.17,LIGHT,72.53,15.32,7.39,LIGHT,75.23,13.88,7.54,LIGHT,73.66,13.56,6.67,LIGHT,71.95,19.33,6.35,LIGHT,78.69,27.53,52.0,201.5,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.298,22.275,22.267,22.275,22.279,22.298,22.267,0.031,418.72,148.26,148.89,150.64,255.0,340.0,255.0,340.0,188.05,238.86,289.38,238.86,-4.8,1.43,1.94,1.43,875.0,875.0,875.0,875.0,-18.03,-146.45,-179.79,-144.07,866.51,1190.0,955.15,3500.0,-488.34,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0733
1,Localized Heavy Compute,0,8,80.0,14,3,4,3,4,29.57,16.67,LIGHT,106.97,28.09,16.6,LIGHT,105.01,31.93,14.89,GENERAL,107.25,29.92,16.56,LIGHT,107.24,14.66,4.35,LIGHT,69.85,11.25,3.15,LIGHT,63.79,17.99,3.83,LIGHT,73.23,19.07,2.31,LIGHT,72.3,16.09,5.42,LIGHT,73.24,13.65,2.29,LIGHT,65.5,27.53,52.0,201.7,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.298,22.272,22.263,22.272,22.276,22.298,22.263,0.035,426.47,133.64,145.53,138.74,255.0,340.0,255.0,340.0,188.13,239.04,289.64,239.04,-5.52,1.65,2.22,1.65,875.0,875.0,875.0,875.0,-10.92,-160.67,-182.61,-155.57,844.38,1190.0,955.85,3500.0,-509.77,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.078
1,Localized Heavy Compute,0,9,90.0,14,3,4,3,4,30.39,15.61,GENERAL,106.4,27.29,13.54,LIGHT,99.42,28.0,16.66,LIGHT,104.99,27.78,15.05,LIGHT,102.3,18.0,2.86,LIGHT,71.79,13.19,6.64,LIGHT,71.45,18.92,4.6,LIGHT,75.55,18.19,7.8,LIGHT,79.44,15.27,2.53,LIGHT,67.88,13.61,2.68,LIGHT,66.03,27.54,52.0,201.9,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,22.297,22.269,22.259,22.269,22.273,22.297,22.259,0.038,413.11,143.24,154.99,133.91,255.0,340.0,255.0,340.0,188.41,239.45,290.12,239.45,-6.24,1.87,2.5,1.87,875.0,875.0,875.0,875.0,-24.72,-150.44,-172.39,-159.77,845.25,1190.0,957.43,3500.0,-507.32,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.0809
