scenario_id,scenario_name,run_id,timestep_index,timestamp_seconds,total_occupancy,occupancy_zone_1,occupancy_zone_2,occupancy_zone_3,occupancy_zone_4,cpu_util_comp_1,gpu_util_comp_1,workload_cat_comp_1,heat_w_comp_1,thermal_contrib_comp_1,status_comp_1,cpu_util_comp_2,gpu_util_comp_2,workload_cat_comp_2,heat_w_comp_2,thermal_contrib_comp_2,status_comp_2,cpu_util_comp_3,gpu_util_comp_3,workload_cat_comp_3,heat_w_comp_3,thermal_contrib_comp_3,status_comp_3,cpu_util_comp_4,gpu_util_comp_4,workload_cat_comp_4,heat_w_comp_4,thermal_contrib_comp_4,status_comp_4,cpu_util_comp_5,gpu_util_comp_5,workload_cat_comp_5,heat_w_comp_5,thermal_contrib_comp_5,status_comp_5,cpu_util_comp_6,gpu_util_comp_6,workload_cat_comp_6,heat_w_comp_6,thermal_contrib_comp_6,status_comp_6,cpu_util_comp_7,gpu_util_comp_7,workload_cat_comp_7,heat_w_comp_7,thermal_contrib_comp_7,status_comp_7,cpu_util_comp_8,gpu_util_comp_8,workload_cat_comp_8,heat_w_comp_8,thermal_contrib_comp_8,status_comp_8,cpu_util_comp_9,gpu_util_comp_9,workload_cat_comp_9,heat_w_comp_9,thermal_contrib_comp_9,status_comp_9,cpu_util_comp_10,gpu_util_comp_10,workload_cat_comp_10,heat_w_comp_10,thermal_contrib_comp_10,status_comp_10,outdoor_temperature_c,relative_humidity_percent,solar_irradiance_w_m2,cooling_level_ac1,setpoint_ac1,state_ac1,cooling_level_ac2,setpoint_ac2,state_ac2,cooling_level_ac3,setpoint_ac3,state_ac3,cooling_level_ac4,setpoint_ac4,state_ac4,zone_1_temperature_c,zone_2_temperature_c,zone_3_temperature_c,zone_4_temperature_c,room_average_temperature_c,max_zone_temperature_c,min_zone_temperature_c,temperature_gradient_c,comp_heat_zone_1_w,comp_heat_zone_2_w,comp_heat_zone_3_w,comp_heat_zone_4_w,occ_heat_zone_1_w,occ_heat_zone_2_w,occ_heat_zone_3_w,occ_heat_zone_4_w,env_heat_zone_1_w,env_heat_zone_2_w,env_heat_zone_3_w,env_heat_zone_4_w,interzone_heat_zone_1_w,interzone_heat_zone_2_w,interzone_heat_zone_3_w,interzone_heat_zone_4_w,hvac_cooling_zone_1_w,hvac_cooling_zone_2_w,hvac_cooling_zone_3_w,hvac_cooling_zone_4_w,net_heat_zone_1_w,net_heat_zone_2_w,net_heat_zone_3_w,net_heat_zone_4_w,total_computational_heat_w,total_occupancy_heat_w,total_envelope_heat_w,total_hvac_cooling_w,total_net_heat_w,optimal_cooling_ac1,optimal_cooling_ac2,optimal_cooling_ac3,optimal_cooling_ac4,optimal_temperature_c,optimal_hvac_action,target_objective_cost
4,High Occupancy / Low Computer Load,0,0,0.0,12,3,3,3,3,10.42,2.3,LIGHT,61.48,LOW,RUNNING,9.45,1.63,IDLE,59.26,LOW,IDLE,11.07,2.34,LIGHT,62.35,LOW,RUNNING,9.12,1.5,IDLE,58.65,LOW,IDLE,8.02,1.03,IDLE,56.57,LOW,IDLE,11.86,3.12,LIGHT,64.51,LOW,RUNNING,10.83,2.5,LIGHT,62.29,LOW,RUNNING,9.49,1.8,IDLE,59.56,LOW,IDLE,8.21,0.92,IDLE,56.64,LOW,IDLE,11.23,2.51,LIGHT,62.8,LOW,RUNNING,27.0,58.0,160.0,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.974,21.972,21.973,21.972,21.973,21.974,21.972,0.002,241.74,121.08,121.85,119.44,255.0,255.0,255.0,255.0,167.97,207.97,247.97,207.97,0.0,0.0,0.0,0.0,875.0,875.0,875.0,875.0,-210.29,-290.95,-250.18,-292.59,604.11,1020.0,831.88,3500.0,-1044.01,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8179
4,High Occupancy / Low Computer Load,0,1,10.0,12,3,3,3,3,10.47,2.28,LIGHT,61.51,LOW,RUNNING,9.39,1.56,IDLE,59.08,LOW,IDLE,10.95,2.28,LIGHT,62.11,LOW,RUNNING,9.05,1.51,IDLE,58.58,LOW,IDLE,8.07,1.1,IDLE,56.74,LOW,IDLE,11.98,3.19,LIGHT,64.76,LOW,RUNNING,10.91,2.5,LIGHT,62.39,LOW,RUNNING,9.46,1.74,IDLE,59.44,LOW,IDLE,8.09,0.85,IDLE,56.39,LOW,IDLE,11.13,2.5,LIGHT,62.66,LOW,RUNNING,27.0,58.0,160.1,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.97,21.966,21.968,21.966,21.968,21.97,21.966,0.004,241.28,121.5,121.83,119.05,255.0,255.0,255.0,255.0,168.1,208.16,248.17,208.16,-0.45,0.33,-0.2,0.33,875.0,875.0,875.0,875.0,-211.07,-290.01,-250.2,-292.46,603.66,1020.0,832.59,3500.0,-1043.74,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8371
4,High Occupancy / Low Computer Load,0,2,20.0,12,3,3,3,3,10.5,2.24,LIGHT,61.48,LOW,RUNNING,9.3,1.48,IDLE,58.84,LOW,IDLE,10.82,2.24,LIGHT,61.88,LOW,RUNNING,9.01,1.54,IDLE,58.57,LOW,IDLE,8.15,1.18,IDLE,56.96,LOW,IDLE,12.11,3.24,LIGHT,65.0,LOW,RUNNING,10.97,2.48,LIGHT,62.43,LOW,RUNNING,9.4,1.67,IDLE,59.26,LOW,IDLE,7.96,0.79,IDLE,56.14,LOW,IDLE,11.06,2.51,LIGHT,62.59,LOW,RUNNING,27.01,58.0,160.3,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.966,21.96,21.963,21.96,21.962,21.966,21.96,0.006,240.77,121.96,121.69,118.73,255.0,255.0,255.0,255.0,168.47,208.64,248.66,208.64,-0.91,0.66,-0.41,0.66,875.0,875.0,875.0,875.0,-211.67,-288.74,-250.06,-291.97,603.15,1020.0,834.41,3500.0,-1042.44,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8564
4,High Occupancy / Low Computer Load,0,3,30.0,12,3,3,3,3,10.49,2.19,LIGHT,61.4,LOW,RUNNING,9.19,1.41,IDLE,58.6,LOW,IDLE,10.71,2.21,LIGHT,61.7,LOW,RUNNING,9.0,1.58,IDLE,58.62,LOW,IDLE,8.25,1.25,IDLE,57.19,LOW,IDLE,12.23,3.28,LIGHT,65.21,LOW,RUNNING,11.0,2.45,LIGHT,62.42,LOW,RUNNING,9.31,1.59,IDLE,59.02,LOW,IDLE,7.84,0.74,IDLE,55.91,LOW,IDLE,11.01,2.53,LIGHT,62.56,LOW,RUNNING,27.01,58.0,160.4,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.962,21.954,21.958,21.954,21.957,21.962,21.954,0.008,240.32,122.4,121.44,118.47,255.0,255.0,255.0,255.0,168.6,208.83,248.86,208.83,-1.37,0.99,-0.62,0.99,875.0,875.0,875.0,875.0,-212.45,-287.78,-250.32,-291.71,602.63,1020.0,835.12,3500.0,-1042.26,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8761
4,High Occupancy / Low Computer Load,0,4,40.0,16,4,4,4,4,10.45,2.13,LIGHT,61.26,LOW,RUNNING,9.07,1.34,IDLE,58.35,LOW,IDLE,10.62,2.2,LIGHT,61.57,LOW,RUNNING,9.02,1.64,IDLE,58.73,LOW,IDLE,8.36,1.32,IDLE,57.43,LOW,IDLE,12.33,3.3,LIGHT,65.36,LOW,RUNNING,10.99,2.4,LIGHT,62.34,LOW,RUNNING,9.2,1.52,IDLE,58.78,LOW,IDLE,7.73,0.71,IDLE,55.73,LOW,IDLE,11.0,2.57,LIGHT,62.6,LOW,RUNNING,27.01,58.0,160.6,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.959,21.95,21.955,21.95,21.953,21.959,21.95,0.009,239.91,122.79,121.12,118.33,340.0,340.0,340.0,340.0,168.75,209.08,249.14,209.08,-1.82,1.32,-0.82,1.32,875.0,875.0,875.0,875.0,-128.16,-201.81,-165.56,-206.27,602.15,1360.0,836.05,3500.0,-701.8,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8505
4,High Occupancy / Low Computer Load,0,5,50.0,16,4,4,4,4,10.39,2.06,LIGHT,61.08,LOW,RUNNING,8.94,1.28,IDLE,58.09,LOW,IDLE,10.55,2.21,LIGHT,61.5,LOW,RUNNING,9.07,1.7,IDLE,58.89,LOW,IDLE,8.49,1.39,IDLE,57.7,LOW,IDLE,12.41,3.3,LIGHT,65.46,LOW,RUNNING,10.96,2.34,LIGHT,62.21,LOW,RUNNING,9.08,1.45,IDLE,58.52,LOW,IDLE,7.63,0.7,IDLE,55.59,LOW,IDLE,11.02,2.63,LIGHT,62.72,LOW,RUNNING,27.01,58.0,160.7,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.956,21.946,21.952,21.946,21.95,21.956,21.946,0.01,239.56,123.16,120.73,118.31,340.0,340.0,340.0,340.0,168.86,209.23,249.29,209.23,-2.04,1.54,-1.04,1.54,875.0,875.0,875.0,875.0,-128.62,-201.07,-166.02,-205.92,601.76,1360.0,836.61,3500.0,-701.63,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8635
4,High Occupancy / Low Computer Load,0,6,60.0,16,4,4,4,4,10.3,1.98,LIGHT,60.84,LOW,RUNNING,8.82,1.24,IDLE,57.88,LOW,IDLE,10.51,2.24,LIGHT,61.5,LOW,RUNNING,9.15,1.78,IDLE,59.11,LOW,IDLE,8.61,1.44,IDLE,57.92,LOW,IDLE,12.47,3.28,LIGHT,65.51,LOW,RUNNING,10.9,2.26,LIGHT,62.02,LOW,RUNNING,8.96,1.39,IDLE,58.29,LOW,IDLE,7.56,0.71,IDLE,55.52,LOW,IDLE,11.06,2.69,LIGHT,62.86,LOW,RUNNING,27.02,58.0,160.8,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.953,21.942,21.949,21.942,21.947,21.953,21.942,0.011,239.33,123.43,120.31,118.38,340.0,340.0,340.0,340.0,169.18,209.59,249.66,209.59,-2.26,1.76,-1.26,1.76,875.0,875.0,875.0,875.0,-128.75,-200.22,-166.29,-205.27,601.45,1360.0,838.02,3500.0,-700.53,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8765
4,High Occupancy / Low Computer Load,0,7,70.0,18,4,5,5,4,10.19,1.91,LIGHT,60.6,LOW,RUNNING,8.71,1.21,IDLE,57.7,LOW,IDLE,10.5,2.28,LIGHT,61.55,LOW,RUNNING,9.25,1.85,IDLE,59.34,LOW,IDLE,8.73,1.48,IDLE,58.13,LOW,IDLE,12.5,3.25,LIGHT,65.5,LOW,RUNNING,10.81,2.19,LIGHT,61.8,LOW,RUNNING,8.84,1.34,IDLE,58.06,LOW,IDLE,7.51,0.73,IDLE,55.48,LOW,IDLE,11.14,2.77,LIGHT,63.08,LOW,RUNNING,27.02,58.0,161.0,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.95,21.94,21.947,21.938,21.944,21.95,21.938,0.012,239.19,123.63,119.86,118.56,340.0,425.0,425.0,340.0,169.32,209.8,249.91,209.8,-2.48,1.98,-1.48,1.98,875.0,875.0,875.0,875.0,-128.97,-114.59,-81.71,-204.66,601.24,1530.0,838.83,3500.0,-529.93,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8677
4,High Occupancy / Low Computer Load,0,8,80.0,20,5,5,5,5,10.07,1.84,LIGHT,60.35,LOW,RUNNING,8.62,1.2,IDLE,57.57,LOW,IDLE,10.52,2.34,LIGHT,61.66,LOW,RUNNING,9.37,1.92,IDLE,59.59,LOW,IDLE,8.83,1.5,IDLE,58.29,LOW,IDLE,12.49,3.2,LIGHT,65.41,LOW,RUNNING,10.7,2.12,LIGHT,61.55,LOW,RUNNING,8.72,1.31,IDLE,57.87,LOW,IDLE,7.5,0.77,IDLE,55.53,LOW,IDLE,11.24,2.84,LIGHT,63.31,LOW,RUNNING,27.02,58.0,161.1,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.949,21.938,21.945,21.936,21.942,21.949,21.936,0.013,239.17,123.7,119.42,118.84,425.0,425.0,425.0,425.0,169.42,209.91,250.03,209.95,-2.46,1.84,-1.71,2.34,875.0,875.0,875.0,875.0,-43.87,-114.55,-82.26,-118.87,601.13,1700.0,839.31,3500.0,-359.55,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8546
4,High Occupancy / Low Computer Load,0,9,90.0,22,5,6,6,5,9.94,1.78,IDLE,60.09,LOW,IDLE,8.55,1.21,IDLE,57.5,LOW,IDLE,10.57,2.41,LIGHT,61.83,LOW,RUNNING,9.49,1.99,IDLE,59.85,LOW,IDLE,8.91,1.5,IDLE,58.39,LOW,IDLE,12.46,3.13,LIGHT,65.27,LOW,RUNNING,10.58,2.05,LIGHT,61.3,LOW,RUNNING,8.63,1.3,IDLE,57.74,LOW,IDLE,7.52,0.83,IDLE,55.64,LOW,IDLE,11.35,2.92,LIGHT,63.57,LOW,RUNNING,27.02,58.0,161.2,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.948,21.937,21.945,21.934,21.941,21.948,21.934,0.014,239.27,123.66,119.04,119.21,425.0,510.0,510.0,425.0,169.48,210.01,250.16,210.06,-2.7,1.95,-1.7,2.45,875.0,875.0,875.0,875.0,-43.95,-29.38,2.5,-118.28,601.18,1870.0,839.71,3500.0,-189.11,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8395
